城市,新建商品住宅销售价格环比指数,新建商品住宅销售价格同比指数,二手住宅销售价格环比指数,二手住宅销售价格同比指数
北京,99.3,99.5,98.4,92.0
唐山,99.3,95.2,99.1,92.3
天津,100.1,100.0,98.7,95.0
秦皇岛,99.3,95.8,99.0,93.0
石家庄,99.5,98.8,99.4,96.7
包头,99.4,94.7,99.1,93.3
太原,100.2,100.0,99.8,96.3
丹东,99.0,96.2,98.8,92.7
呼和浩特,99.5,97.2,98.9,93.3
锦州,99.3,98.0,98.9,93.6
沈阳,99.8,96.9,98.9,92.6
吉林,98.8,98.0,99.1,92.6
大连,99.4,95.7,98.4,92.1
牡丹江,99.4,96.0,99.6,93.1
长春,99.7,97.0,99.4,93.6
无锡,99.3,96.5,98.4,92.3
哈尔滨,99.6,96.1,99.5,93.1
徐州,99.7,93.0,99.0,88.1
上海,100.3,104.2,99.2,92.5
扬州,99.6,95.0,99.1,91.9
南京,99.2,92.3,98.6,89.3
温州,99.3,94.8,98.3,90.3
杭州,99.5,100.4,98.9,93.5
金华,99.3,92.3,99.1,91.9
宁波,98.2,95.8,99.0,91.6
蚌埠,99.2,95.9,99.0,93.7
合肥,99.3,97.5,98.8,92.6
安庆,99.0,94.5,99.1,93.1
福州,99.5,95.3,98.9,92.3
泉州,99.3,99.4,99.6,93.4
厦门,98.7,93.0,98.3,89.3
九江,99.2,94.3,98.5,92.2
南昌,99.7,95.1,98.7,93.7
赣州,99.5,95.5,98.8,96.4
济南,99.8,98.8,99.4,94.4
烟台,98.8,96.0,98.2,91.8
青岛,99.2,96.2,98.8,92.3
济宁,99.7,95.6,98.9,92.6
郑州,99.2,93.9,99.4,91.5
洛阳,99.8,96.0,99.5,93.2
武汉,99.0,94.8,98.5,89.4
平顶山,100.1,97.5,99.7,94.0
长沙,99.4,99.6,99.0,94.6
宜昌,99.2,95.2,99.4,93.9
广州,98.7,93.1,98.6,89.8
襄阳,99.5,95.6,98.8,91.2
深圳,99.0,93.3,99.3,91.5
岳阳,99.5,95.2,99.3,95.0
南宁,99.3,94.5,98.5,91.6
常德,99.2,94.8,98.8,93.5
海口,99.7,99.2,99.3,92.4
韶关,99.5,94.8,99.7,94.7
重庆,98.7,98.6,99.1,91.7
湛江,99.0,93.0,98.9,93.3
成都,99.7,101.4,99.2,94.3
惠州,99.1,92.7,98.8,93.5
贵阳,99.9,98.1,99.5,93.5
桂林,99.4,95.5,98.4,93.2
昆明,99.3,95.6,100.2,96.5
北海,99.4,98.9,99.6,95.2
西安,100.1,104.3,99.4,94.9
三亚,99.6,100.4,99.5,97.4
兰州,99.4,96.2,99.0,92.6
泸州,99.4,94.5,99.0,95.7
西宁,99.6,94.5,99.4,95.3
南充,99.9,97.6,99.7,96.1
银川,99.5,96.8,99.2,94.6
遵义,100.2,97.4,99.5,95.3
乌鲁木齐,99.5,97.4,99.5,95.4
大理,99.5,97.2,99.0,95.2
